source,target,autores,pmids,evidencia,weight,n_papers,n_autor_paper
aff_bc70c78588b67e6b,aff_d999260a07edd193,"[""Arini P""]","[""39851628""]","[{""autor"": ""Arini P"", ""pmid"": ""39851628""}]",1,1,1
aff_bcee52ab4aca5753,aff_fbec47c27962b8d3,"[""Damiano A""]","[""35095555""]","[{""autor"": ""Damiano A"", ""pmid"": ""35095555""}]",1,1,1
aff_bd0565296f830634,aff_bffecf569eede212,"[""Merlo E""]","[""31690927""]","[{""autor"": ""Merlo E"", ""pmid"": ""31690927""}]",1,1,1
aff_bd0565296f830634,aff_c33b723d22027459,"[""Merlo E""]","[""31690927""]","[{""autor"": ""Merlo E"", ""pmid"": ""31690927""}]",1,1,1
aff_bd0565296f830634,aff_cfa784efefbd3363,"[""Canales-Johnson A""]","[""31690927""]","[{""autor"": ""Canales-Johnson A"", ""pmid"": ""31690927""}]",1,1,1
aff_bdd11945a8209b51,aff_f068b2531bc4c253,"[""Krakauer J""]","[""35225229""]","[{""autor"": ""Krakauer J"", ""pmid"": ""35225229""}]",1,1,1
aff_bffecf569eede212,aff_c33b723d22027459,"[""Merlo E""]","[""31690927""]","[{""autor"": ""Merlo E"", ""pmid"": ""31690927""}]",1,1,1
aff_c0f4b8b9686a3384,aff_eb66b7d79751c0d5,"[""Boccaccio G"", ""Melani M""]","[""40595449""]","[{""autor"": ""Boccaccio G"", ""pmid"": ""40595449""}, {""autor"": ""Melani M"", ""pmid"": ""40595449""}]",2,1,2
aff_c1843b289d883e8b,aff_d040740adde29d9e,"[""Albert S""]","[""35225229""]","[{""autor"": ""Albert S"", ""pmid"": ""35225229""}]",1,1,1
aff_c3520b1a4102f885,aff_f2f41d2c80be1556,"[""Paz R""]","[""41817828""]","[{""autor"": ""Paz R"", ""pmid"": ""41817828""}]",1,1,1
aff_c4baa78702143c0e,aff_e508bee9fda6ff68,"[""Kiffer F""]","[""31630412""]","[{""autor"": ""Kiffer F"", ""pmid"": ""31630412""}]",1,1,1
aff_c6401d047eb855e2,aff_e5f9c92d47206008,"[""Beltramone N"", ""Capurro C"", ""Casal J"", ""Celi A"", ""Di Giusto G"", ""Ford P"", ""Grippo A"", ""Mechali A""]","[""41824201""]","[{""autor"": ""Beltramone N"", ""pmid"": ""41824201""}, {""autor"": ""Capurro C"", ""pmid"": ""41824201""}, {""autor"": ""Casal J"", ""pmid"": ""41824201""}, {""autor"": ""Celi A"", ""pmid"": ""41824201""}, {""autor"": ""Di Giusto G"", ""pmid"": ""41824201""}, {""autor"": ""Ford P"", ""pmid"": ""41824201""}, {""autor"": ""Grippo A"", ""pmid"": ""41824201""}, {""autor"": ""Mechali A"", ""pmid"": ""41824201""}]",8,1,8
aff_ca730e5bf1197480,aff_ee6a6208e8bd2e18,"[""Igaz L""]","[""42086667""]","[{""autor"": ""Igaz L"", ""pmid"": ""42086667""}]",1,1,1
aff_cab4fee785e8fad6,aff_d210e1871288a74e,"[""Carbajosa N"", ""Gironacci M""]","[""36227397""]","[{""autor"": ""Carbajosa N"", ""pmid"": ""36227397""}, {""autor"": ""Gironacci M"", ""pmid"": ""36227397""}]",2,1,2
aff_cf2f6dce46d7c2a1,aff_f1035155a57362ca,"[""Chang M"", ""Venturato J""]","[""41423699""]","[{""autor"": ""Chang M"", ""pmid"": ""41423699""}, {""autor"": ""Venturato J"", ""pmid"": ""41423699""}]",2,1,2
aff_cfd79c0a2a5e2ca5,aff_edb0c189f5bdac98,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_d040740adde29d9e,aff_f8ac30ed5b0b9e5e,"[""Jang J""]","[""35225229""]","[{""autor"": ""Jang J"", ""pmid"": ""35225229""}]",1,1,1
aff_d21c583e5bd869a9,aff_ea4d4de5fbb3ba02,"[""Seyahian E"", ""Zotta E""]","[""31956716""]","[{""autor"": ""Seyahian E"", ""pmid"": ""31956716""}, {""autor"": ""Zotta E"", ""pmid"": ""31956716""}]",2,1,2
aff_d4357d2d3141bfb7,aff_e25e6ae6512507c0,"[""Gallo F""]","[""29085903""]","[{""autor"": ""Gallo F"", ""pmid"": ""29085903""}]",1,1,1
aff_d6c8886602313529,aff_e20f984e26c57db0,"[""Berdasco C"", ""Celi A"", ""Pinto A""]","[""36227397""]","[{""autor"": ""Berdasco C"", ""pmid"": ""36227397""}, {""autor"": ""Celi A"", ""pmid"": ""36227397""}, {""autor"": ""Pinto A"", ""pmid"": ""36227397""}]",3,1,3
aff_d975544b73c2a5f0,aff_f854683b07196682,"[""Damiano A"", ""Reynoso M""]","[""42601945""]","[{""autor"": ""Damiano A"", ""pmid"": ""42601945""}, {""autor"": ""Reynoso M"", ""pmid"": ""42601945""}]",2,1,2
aff_e3a9932312863c7d,aff_e6b686ac84c96869,"[""Della-Maggiore V""]","[""36587288""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""36587288""}]",1,1,1
