source,target,autores,pmids,evidencia,weight,n_papers,n_autor_paper
aff_30be19c77b7fe9ec,aff_99a6f6ed7c213299,"[""Cabral P""]","[""25980432""]","[{""autor"": ""Cabral P"", ""pmid"": ""25980432""}]",1,1,1
aff_30c8abd41e24c198,aff_3c1f1aa6a5d6ee60,"[""Bernabeu R"", ""Faillace M""]","[""30102439"", ""31997350""]","[{""autor"": ""Bernabeu R"", ""pmid"": ""30102439""}, {""autor"": ""Faillace M"", ""pmid"": ""30102439""}, {""autor"": ""Bernabeu R"", ""pmid"": ""31997350""}, {""autor"": ""Faillace M"", ""pmid"": ""31997350""}]",2,2,4
aff_314259d4a47e9112,aff_3f8876a2ebc5c382,"[""Marques da Silva W""]","[""42611393""]","[{""autor"": ""Marques da Silva W"", ""pmid"": ""42611393""}]",1,1,1
aff_320455ea214b3afe,aff_d0bcddafd54786ee,"[""Di Ciano L""]","[""40577142""]","[{""autor"": ""Di Ciano L"", ""pmid"": ""40577142""}]",1,1,1
aff_330185d41cffdf97,aff_44027febf1b0938a,"[""Martinez M""]","[""36426715""]","[{""autor"": ""Martinez M"", ""pmid"": ""36426715""}]",1,1,1
aff_3303d001c7b11acb,aff_a3aff8ee1c072148,"[""Merlo E""]","[""30842725""]","[{""autor"": ""Merlo E"", ""pmid"": ""30842725""}]",1,1,1
aff_337ca8bfb8191fcf,aff_5bd39c8480985821,"[""Ferrary Americo M"", ""Vilela Rodrigues T""]","[""41709136""]","[{""autor"": ""Ferrary Americo M"", ""pmid"": ""41709136""}, {""autor"": ""Vilela Rodrigues T"", ""pmid"": ""41709136""}]",2,1,2
aff_359e4207bf941d5d,aff_72441bcd52dc4cdd,"[""Chara O""]","[""35705598""]","[{""autor"": ""Chara O"", ""pmid"": ""35705598""}]",1,1,1
aff_359e4207bf941d5d,aff_a2e2a28b8a1efb3c,"[""Chara O""]","[""35705598""]","[{""autor"": ""Chara O"", ""pmid"": ""35705598""}]",1,1,1
aff_35af8b21ccc80a8d,aff_5ebe703ca5ab3d27,"[""Zerbetto De Palma G""]","[""34293244""]","[{""autor"": ""Zerbetto De Palma G"", ""pmid"": ""34293244""}]",1,1,1
aff_35af8b21ccc80a8d,aff_b7727a6b6fdce087,"[""Alleva K"", ""Zerbetto De Palma G""]","[""34293244""]","[{""autor"": ""Alleva K"", ""pmid"": ""34293244""}, {""autor"": ""Zerbetto De Palma G"", ""pmid"": ""34293244""}]",2,1,2
aff_35db0d4197a4ad32,aff_44d0bc32d8ec51d9,"[""Piriz J""]","[""35217797""]","[{""autor"": ""Piriz J"", ""pmid"": ""35217797""}]",1,1,1
aff_3690f2c27abd4930,aff_6e8ca31d34ff20ec,"[""Della-Maggiore V""]","[""42313886""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""42313886""}]",1,1,1
aff_3690f2c27abd4930,aff_e363a0e01dffa1c0,"[""Della-Maggiore V"", ""Solano A"", ""Yeffal A""]","[""42313886""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""42313886""}, {""autor"": ""Solano A"", ""pmid"": ""42313886""}, {""autor"": ""Yeffal A"", ""pmid"": ""42313886""}]",3,1,3
aff_36bf9922da4ec2cc,aff_4248175a9555565b,"[""Damiano A""]","[""40642510""]","[{""autor"": ""Damiano A"", ""pmid"": ""40642510""}]",1,1,1
aff_3722a6d3d1befe40,aff_77562cdb26c7cd84,"[""Igaz L""]","[""41571758""]","[{""autor"": ""Igaz L"", ""pmid"": ""41571758""}]",1,1,1
aff_37419cc03f42717c,aff_6d7a349a4b6031bf,"[""Huang M"", ""Jerome K"", ""Roychoudhury P""]","[""38019897""]","[{""autor"": ""Huang M"", ""pmid"": ""38019897""}, {""autor"": ""Jerome K"", ""pmid"": ""38019897""}, {""autor"": ""Roychoudhury P"", ""pmid"": ""38019897""}]",3,1,3
aff_37f5451bedadbaf9,aff_54ea707af7991ac4,"[""Collavini S""]","[""33692740""]","[{""autor"": ""Collavini S"", ""pmid"": ""33692740""}]",1,1,1
aff_37f5451bedadbaf9,aff_56e1a3e2090a5144,"[""Princich J""]","[""33692740""]","[{""autor"": ""Princich J"", ""pmid"": ""33692740""}]",1,1,1
aff_37f5451bedadbaf9,aff_d4d4e25992912100,"[""Collavini S""]","[""33692740""]","[{""autor"": ""Collavini S"", ""pmid"": ""33692740""}]",1,1,1
aff_3813dc13e55ed604,aff_cde3ccd212863f06,"[""Carbone S""]","[""29774754""]","[{""autor"": ""Carbone S"", ""pmid"": ""29774754""}]",1,1,1
aff_385bd095785cb599,aff_3cca1a26b7ad8bc3,"[""Damiano A""]","[""30620717""]","[{""autor"": ""Damiano A"", ""pmid"": ""30620717""}]",1,1,1
aff_385bd095785cb599,aff_93130deb441cb8f0,"[""Damiano A""]","[""36117714""]","[{""autor"": ""Damiano A"", ""pmid"": ""36117714""}]",1,1,1
aff_385bd095785cb599,aff_a4de4d80af177a8d,"[""Damiano A""]","[""34925067"", ""35431989"", ""36117714"", ""37466779""]","[{""autor"": ""Damiano A"", ""pmid"": ""34925067""}, {""autor"": ""Damiano A"", ""pmid"": ""35431989""}, {""autor"": ""Damiano A"", ""pmid"": ""36117714""}, {""autor"": ""Damiano A"", ""pmid"": ""37466779""}]",1,4,4
aff_385bd095785cb599,aff_d21c583e5bd869a9,"[""Damiano A""]","[""31956716""]","[{""autor"": ""Damiano A"", ""pmid"": ""31956716""}]",1,1,1
aff_385bd095785cb599,aff_f080ded293ce2aeb,"[""Damiano A"", ""Di Paola M""]","[""30425647""]","[{""autor"": ""Damiano A"", ""pmid"": ""30425647""}, {""autor"": ""Di Paola M"", ""pmid"": ""30425647""}]",2,1,2
aff_385bd095785cb599,aff_f7ce6acbfa6c593b,"[""Damiano A""]","[""31541456""]","[{""autor"": ""Damiano A"", ""pmid"": ""31541456""}]",1,1,1
aff_385bd095785cb599,aff_f9e4cc836f986368,"[""Damiano A""]","[""37274341""]","[{""autor"": ""Damiano A"", ""pmid"": ""37274341""}]",1,1,1
aff_38c3c3c215f657b5,aff_7d988c4443f307d5,"[""Reppetti J""]","[""38019897""]","[{""autor"": ""Reppetti J"", ""pmid"": ""38019897""}]",1,1,1
aff_3934ba44d29eec9c,aff_8947a5bf05c4a166,"[""Stahl A""]","[""41817828""]","[{""autor"": ""Stahl A"", ""pmid"": ""41817828""}]",1,1,1
aff_39e9696618ee188a,aff_f39ddc6ac5eb1872,"[""Depino A""]","[""42404802""]","[{""autor"": ""Depino A"", ""pmid"": ""42404802""}]",1,1,1
aff_3a26936a62e60903,aff_918ec50751c2e4d7,"[""San Gil R""]","[""41423699""]","[{""autor"": ""San Gil R"", ""pmid"": ""41423699""}]",1,1,1
aff_3a26936a62e60903,aff_a0c82f8177ce87ae,"[""San Gil R""]","[""41423699""]","[{""autor"": ""San Gil R"", ""pmid"": ""41423699""}]",1,1,1
aff_3a479c80ad9dea31,aff_5ad4e32ad814566f,"[""Dare S""]","[""33519685""]","[{""autor"": ""Dare S"", ""pmid"": ""33519685""}]",1,1,1
aff_3b994d984444414f,aff_7287ca77f71f37cc,"[""Murer M""]","[""41817828""]","[{""autor"": ""Murer M"", ""pmid"": ""41817828""}]",1,1,1
aff_3beb38a791af4687,aff_84d60a0f2c172882,"[""Wappner P""]","[""40603573""]","[{""autor"": ""Wappner P"", ""pmid"": ""40603573""}]",1,1,1
aff_3beb38a791af4687,aff_c19da172802ef94f,"[""Wappner P""]","[""40603573""]","[{""autor"": ""Wappner P"", ""pmid"": ""40603573""}]",1,1,1
aff_3c15b18649cefc81,aff_3d00a58bac42ad69,"[""Rela L""]","[""25856239""]","[{""autor"": ""Rela L"", ""pmid"": ""25856239""}]",1,1,1
aff_3c15b18649cefc81,aff_66d92e506dade2f6,"[""Piantanida A"", ""Rela L""]","[""25856239""]","[{""autor"": ""Piantanida A"", ""pmid"": ""25856239""}, {""autor"": ""Rela L"", ""pmid"": ""25856239""}]",2,1,2
aff_3d00a58bac42ad69,aff_418929afbe3e1028,"[""Greer C""]","[""25856239""]","[{""autor"": ""Greer C"", ""pmid"": ""25856239""}]",1,1,1
aff_3d00a58bac42ad69,aff_66d92e506dade2f6,"[""Rela L""]","[""25856239""]","[{""autor"": ""Rela L"", ""pmid"": ""25856239""}]",1,1,1
aff_3d1f5223a91c7ecf,aff_6ba3d3b9e1f4db26,"[""Bussey T"", ""Saksida L""]","[""29085903""]","[{""autor"": ""Bussey T"", ""pmid"": ""29085903""}, {""autor"": ""Saksida L"", ""pmid"": ""29085903""}]",2,1,2
aff_3d1f5223a91c7ecf,aff_8a89f4ad1a2348a9,"[""Bussey T"", ""Saksida L""]","[""29085903""]","[{""autor"": ""Bussey T"", ""pmid"": ""29085903""}, {""autor"": ""Saksida L"", ""pmid"": ""29085903""}]",2,1,2
aff_3d1f532e83990432,aff_8e4e0251c391bfd6,"[""Ortiz A"", ""Sanchez-Nino M""]","[""28523190""]","[{""autor"": ""Ortiz A"", ""pmid"": ""28523190""}, {""autor"": ""Sanchez-Nino M"", ""pmid"": ""28523190""}]",2,1,2
aff_3e7ff306361189c7,aff_b8b11627be8b8e1b,"[""Taravini I""]","[""30746639""]","[{""autor"": ""Taravini I"", ""pmid"": ""30746639""}]",1,1,1
aff_3e7ff306361189c7,aff_e2d98346afc74265,"[""Taravini I""]","[""30746639""]","[{""autor"": ""Taravini I"", ""pmid"": ""30746639""}]",1,1,1
aff_3f04655630a87f51,aff_5cc17ba9a3be32b3,"[""Melani M""]","[""40603573""]","[{""autor"": ""Melani M"", ""pmid"": ""40603573""}]",1,1,1
aff_3f04655630a87f51,aff_82efff6c0763a986,"[""Melani M""]","[""40603573""]","[{""autor"": ""Melani M"", ""pmid"": ""40603573""}]",1,1,1
aff_3f24331eaae85406,aff_90f3214ef1a79e1c,"[""Merlo S""]","[""38355584""]","[{""autor"": ""Merlo S"", ""pmid"": ""38355584""}]",1,1,1
aff_3f24331eaae85406,aff_ccdd92511c648e30,"[""Merlo S""]","[""38355584""]","[{""autor"": ""Merlo S"", ""pmid"": ""38355584""}]",1,1,1
aff_3f8876a2ebc5c382,aff_818694892a796f8c,"[""Gomes Pio M"", ""Rivolta C""]","[""42611393""]","[{""autor"": ""Gomes Pio M"", ""pmid"": ""42611393""}, {""autor"": ""Rivolta C"", ""pmid"": ""42611393""}]",2,1,2
aff_406c480d8d512641,aff_68de8de95c4c2e5b,"[""Martin S""]","[""37466779""]","[{""autor"": ""Martin S"", ""pmid"": ""37466779""}]",1,1,1
aff_406c480d8d512641,aff_8d361cdeedd0afb5,"[""Gonzalez M"", ""Gonzalez-Ortiz M""]","[""35431989"", ""37466779""]","[{""autor"": ""Gonzalez M"", ""pmid"": ""35431989""}, {""autor"": ""Gonzalez-Ortiz M"", ""pmid"": ""37466779""}]",2,2,2
aff_406c480d8d512641,aff_b69a12a93c57d961,"[""Escudero C""]","[""35431989""]","[{""autor"": ""Escudero C"", ""pmid"": ""35431989""}]",1,1,1
aff_40c7a82f2c8aa783,aff_ddae692c92ed8cbb,"[""Acosta L"", ""Brocardo L"", ""Capurro C"", ""Piantanida A"", ""Rela L""]","[""30628061""]","[{""autor"": ""Acosta L"", ""pmid"": ""30628061""}, {""autor"": ""Brocardo L"", ""pmid"": ""30628061""}, {""autor"": ""Capurro C"", ""pmid"": ""30628061""}, {""autor"": ""Piantanida A"", ""pmid"": ""30628061""}, {""autor"": ""Rela L"", ""pmid"": ""30628061""}]",5,1,5
aff_40d9ca977897692c,aff_6caf3626b4429618,"[""Della-Maggiore V""]","[""40744730""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""40744730""}]",1,1,1
aff_4222640156e0768d,aff_5186d19e853fb37e,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_4222640156e0768d,aff_9d121fff2a1f6e1b,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_4222640156e0768d,aff_cfd79c0a2a5e2ca5,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_4222640156e0768d,aff_edb0c189f5bdac98,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_42654adad47b9edd,aff_99c18ca43b8704d8,"[""Nakao K"", ""Nakazawa K""]","[""29394409""]","[{""autor"": ""Nakao K"", ""pmid"": ""29394409""}, {""autor"": ""Nakazawa K"", ""pmid"": ""29394409""}]",2,1,2
aff_43d00b9b5574c3d0,aff_d76dc10413910295,"[""Echevarria M""]","[""38956598""]","[{""autor"": ""Echevarria M"", ""pmid"": ""38956598""}]",1,1,1
aff_44027febf1b0938a,aff_df2cc5f49dd034ef,"[""Belluscio M"", ""Coletti M"", ""Murer M"", ""Zold C""]","[""36426715""]","[{""autor"": ""Belluscio M"", ""pmid"": ""36426715""}, {""autor"": ""Coletti M"", ""pmid"": ""36426715""}, {""autor"": ""Murer M"", ""pmid"": ""36426715""}, {""autor"": ""Zold C"", ""pmid"": ""36426715""}]",4,1,4
aff_440939cae05a1692,aff_9fbfaf455eb379d0,"[""Bekinschtein P"", ""Gallo F"", ""Miranda M""]","[""29717980""]","[{""autor"": ""Bekinschtein P"", ""pmid"": ""29717980""}, {""autor"": ""Gallo F"", ""pmid"": ""29717980""}, {""autor"": ""Miranda M"", ""pmid"": ""29717980""}]",3,1,3
aff_44da268f6a3e1f4b,aff_94afcea4d4eef6dd,"[""Berni J"", ""Rodriguez Curt J""]","[""33519685""]","[{""autor"": ""Berni J"", ""pmid"": ""33519685""}, {""autor"": ""Rodriguez Curt J"", ""pmid"": ""33519685""}]",2,1,2
aff_44ddd48de5771b8f,aff_83d05cc4ffaf2479,"[""Anderson M""]","[""35853718""]","[{""autor"": ""Anderson M"", ""pmid"": ""35853718""}]",1,1,1
aff_453b7394e370894f,aff_bcba04651d634aef,"[""Fischer Sigel L"", ""Sanchez D"", ""Silberstein C""]","[""41800087""]","[{""autor"": ""Fischer Sigel L"", ""pmid"": ""41800087""}, {""autor"": ""Sanchez D"", ""pmid"": ""41800087""}, {""autor"": ""Silberstein C"", ""pmid"": ""41800087""}]",3,1,3
aff_4656262f6a966ae5,aff_bd0565296f830634,"[""Canales-Johnson A""]","[""31690927""]","[{""autor"": ""Canales-Johnson A"", ""pmid"": ""31690927""}]",1,1,1
aff_4656262f6a966ae5,aff_cfa784efefbd3363,"[""Canales-Johnson A""]","[""31690927""]","[{""autor"": ""Canales-Johnson A"", ""pmid"": ""31690927""}]",1,1,1
aff_4692ada1b2336e9a,aff_51ad578f18c547a8,"[""Igaz L"", ""Vassallu F""]","[""41423699""]","[{""autor"": ""Igaz L"", ""pmid"": ""41423699""}, {""autor"": ""Vassallu F"", ""pmid"": ""41423699""}]",2,1,2
aff_4692ada1b2336e9a,aff_5d7553c4e919cc25,"[""Capurro C"", ""Di Giusto G"", ""Politi M""]","[""42576265""]","[{""autor"": ""Capurro C"", ""pmid"": ""42576265""}, {""autor"": ""Di Giusto G"", ""pmid"": ""42576265""}, {""autor"": ""Politi M"", ""pmid"": ""42576265""}]",3,1,3
aff_4745d4c222c4d4ea,aff_6542dac6e7b0ddf4,"[""Rubinstein M""]","[""27431292""]","[{""autor"": ""Rubinstein M"", ""pmid"": ""27431292""}]",1,1,1
aff_474dd01122e06115,aff_5bcb4fb4b8b3ed23,"[""Gershanik O"", ""Gomez G""]","[""30746639""]","[{""autor"": ""Gershanik O"", ""pmid"": ""30746639""}, {""autor"": ""Gomez G"", ""pmid"": ""30746639""}]",2,1,2
aff_482744f1412e6f10,aff_aa7a38c296ccdcdb,"[""Renfijes M""]","[""42086667""]","[{""autor"": ""Renfijes M"", ""pmid"": ""42086667""}]",1,1,1
aff_482744f1412e6f10,aff_b6123071603cb39f,"[""Iribarne J"", ""Riboldi J""]","[""42086667""]","[{""autor"": ""Iribarne J"", ""pmid"": ""42086667""}, {""autor"": ""Riboldi J"", ""pmid"": ""42086667""}]",2,1,2
aff_482744f1412e6f10,aff_e00bf8b996446a67,"[""Iribarne J"", ""Riboldi J""]","[""42086667""]","[{""autor"": ""Iribarne J"", ""pmid"": ""42086667""}, {""autor"": ""Riboldi J"", ""pmid"": ""42086667""}]",2,1,2
aff_48c2cb670d671069,aff_9c25b5dc2eed5261,"[""Ramos-Hryb A""]","[""31630412""]","[{""autor"": ""Ramos-Hryb A"", ""pmid"": ""31630412""}]",1,1,1
aff_4a7a18d8f37dd23e,aff_93e230e73595ef31,"[""Chye Y"", ""West P""]","[""41423699""]","[{""autor"": ""Chye Y"", ""pmid"": ""41423699""}, {""autor"": ""West P"", ""pmid"": ""41423699""}]",2,1,2
aff_4a7a18d8f37dd23e,aff_f1035155a57362ca,"[""Chye Y""]","[""41423699""]","[{""autor"": ""Chye Y"", ""pmid"": ""41423699""}]",1,1,1
aff_4d53c44c100a038c,aff_f5e4111a6396909f,"[""Wappner P""]","[""40595449""]","[{""autor"": ""Wappner P"", ""pmid"": ""40595449""}]",1,1,1
aff_4eb846c189333edf,aff_eaad9813b8a354b3,"[""Netti V""]","[""39485629""]","[{""autor"": ""Netti V"", ""pmid"": ""39485629""}]",1,1,1
aff_5186d19e853fb37e,aff_9d121fff2a1f6e1b,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_5186d19e853fb37e,aff_cfd79c0a2a5e2ca5,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_5186d19e853fb37e,aff_edb0c189f5bdac98,"[""Sobrevia L""]","[""38827994""]","[{""autor"": ""Sobrevia L"", ""pmid"": ""38827994""}]",1,1,1
aff_51ad578f18c547a8,aff_611932da19df87e0,"[""Gomez Acosta M"", ""Uehara J""]","[""39833563""]","[{""autor"": ""Gomez Acosta M"", ""pmid"": ""39833563""}, {""autor"": ""Uehara J"", ""pmid"": ""39833563""}]",2,1,2
aff_51aeaff5e5e3b3d9,aff_5d7553c4e919cc25,"[""Capurro C"", ""Cocca M"", ""Cutrera N"", ""Di Giusto G"", ""Ford P"", ""Molina Ponce T""]","[""39485629""]","[{""autor"": ""Capurro C"", ""pmid"": ""39485629""}, {""autor"": ""Cocca M"", ""pmid"": ""39485629""}, {""autor"": ""Cutrera N"", ""pmid"": ""39485629""}, {""autor"": ""Di Giusto G"", ""pmid"": ""39485629""}, {""autor"": ""Ford P"", ""pmid"": ""39485629""}, {""autor"": ""Molina Ponce T"", ""pmid"": ""39485629""}]",6,1,6
aff_54a8b64a73a8363a,aff_f983070427ab2705,"[""Damiano A""]","[""28258575""]","[{""autor"": ""Damiano A"", ""pmid"": ""28258575""}]",1,1,1
aff_54ea707af7991ac4,aff_d4d4e25992912100,"[""Collavini S""]","[""33692740""]","[{""autor"": ""Collavini S"", ""pmid"": ""33692740""}]",1,1,1
aff_5583129e55d9bcb7,aff_9a941c1453ee3534,"[""Della-Maggiore V""]","[""39074983""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""39074983""}]",1,1,1
aff_5583129e55d9bcb7,aff_edc29b1ccca97321,"[""Della-Maggiore V""]","[""39074983""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""39074983""}]",1,1,1
aff_55c20d3f08a996dc,aff_98a8b450e5e90100,"[""Medina J""]","[""29755331""]","[{""autor"": ""Medina J"", ""pmid"": ""29755331""}]",1,1,1
aff_57833ca493b15fef,aff_81be4ded416def6c,"[""Murer M"", ""Rela L""]","[""34823607""]","[{""autor"": ""Murer M"", ""pmid"": ""34823607""}, {""autor"": ""Rela L"", ""pmid"": ""34823607""}]",2,1,2
aff_5addbefca958a52e,aff_849cfdb1cdb65021,"[""Damiano A""]","[""36717499""]","[{""autor"": ""Damiano A"", ""pmid"": ""36717499""}]",1,1,1
aff_5b17cc643387a3df,aff_e00bf8b996446a67,"[""Medina J""]","[""35217797""]","[{""autor"": ""Medina J"", ""pmid"": ""35217797""}]",1,1,1
aff_5c85927a9e37cc3d,aff_c0f4b8b9686a3384,"[""Boccaccio G"", ""Borrat A"", ""Evangelisti F"", ""Melani M"", ""Perez-Pandolfo S"", ""Peters T"", ""Rodriguez F"", ""Sommario N""]","[""40595449""]","[{""autor"": ""Boccaccio G"", ""pmid"": ""40595449""}, {""autor"": ""Borrat A"", ""pmid"": ""40595449""}, {""autor"": ""Evangelisti F"", ""pmid"": ""40595449""}, {""autor"": ""Melani M"", ""pmid"": ""40595449""}, {""autor"": ""Perez-Pandolfo S"", ""pmid"": ""40595449""}, {""autor"": ""Peters T"", ""pmid"": ""40595449""}, {""autor"": ""Rodriguez F"", ""pmid"": ""40595449""}, {""autor"": ""Sommario N"", ""pmid"": ""40595449""}]",8,1,8
aff_5c85927a9e37cc3d,aff_eb66b7d79751c0d5,"[""Boccaccio G"", ""Melani M""]","[""40595449""]","[{""autor"": ""Boccaccio G"", ""pmid"": ""40595449""}, {""autor"": ""Melani M"", ""pmid"": ""40595449""}]",2,1,2
aff_5cc17ba9a3be32b3,aff_82efff6c0763a986,"[""Melani M""]","[""40603573""]","[{""autor"": ""Melani M"", ""pmid"": ""40603573""}]",1,1,1
aff_5d7553c4e919cc25,aff_e5f9c92d47206008,"[""Netti V""]","[""42404802""]","[{""autor"": ""Netti V"", ""pmid"": ""42404802""}]",1,1,1
aff_5ebe703ca5ab3d27,aff_b7727a6b6fdce087,"[""Zerbetto De Palma G""]","[""34293244""]","[{""autor"": ""Zerbetto De Palma G"", ""pmid"": ""34293244""}]",1,1,1
aff_5f7e79808111e878,aff_843454e9a23523a6,"[""Damiano A""]","[""32482148""]","[{""autor"": ""Damiano A"", ""pmid"": ""32482148""}]",1,1,1
aff_60dafe0ed3a8afdd,aff_e20f984e26c57db0,"[""Blake M""]","[""36227397""]","[{""autor"": ""Blake M"", ""pmid"": ""36227397""}]",1,1,1
aff_60f30097ab50e683,aff_be102b1b3275f070,"[""Garcia-Sanz P"", ""Granado N"", ""Moratalla R"", ""Sanz-Magro A"", ""Solis O""]","[""31833146""]","[{""autor"": ""Garcia-Sanz P"", ""pmid"": ""31833146""}, {""autor"": ""Granado N"", ""pmid"": ""31833146""}, {""autor"": ""Moratalla R"", ""pmid"": ""31833146""}, {""autor"": ""Sanz-Magro A"", ""pmid"": ""31833146""}, {""autor"": ""Solis O"", ""pmid"": ""31833146""}]",5,1,5
aff_61fbc19f32d41763,aff_620f45ecb4fa96bd,"[""Damiano A""]","[""38089623""]","[{""autor"": ""Damiano A"", ""pmid"": ""38089623""}]",1,1,1
aff_6234f24add618aef,aff_d483779fbf2abd07,"[""Jancic C""]","[""34900753""]","[{""autor"": ""Jancic C"", ""pmid"": ""34900753""}]",1,1,1
aff_623532a2745f8700,aff_638dacceba6b8d0c,"[""Piriz J""]","[""27419661""]","[{""autor"": ""Piriz J"", ""pmid"": ""27419661""}]",1,1,1
aff_646eb37713d89034,aff_bcee52ab4aca5753,"[""Damiano A""]","[""42327001""]","[{""autor"": ""Damiano A"", ""pmid"": ""42327001""}]",1,1,1
aff_66c73a8ce5a882d9,aff_9d17263d51f9eea6,"[""Della-Maggiore V""]","[""41040166""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""41040166""}]",1,1,1
aff_66c73a8ce5a882d9,aff_f41f4680c2307ace,"[""Della-Maggiore V""]","[""41040166""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""41040166""}]",1,1,1
aff_67c8cf5c8edf7250,aff_b680313360492a21,"[""Bocai N""]","[""31630412""]","[{""autor"": ""Bocai N"", ""pmid"": ""31630412""}]",1,1,1
aff_68a215d3a9d46b87,aff_846fef047571448d,"[""Viola H""]","[""42086667""]","[{""autor"": ""Viola H"", ""pmid"": ""42086667""}]",1,1,1
aff_6a132b6c9c092e49,aff_aedca35129f0fa22,"[""Damiano A""]","[""34267676""]","[{""autor"": ""Damiano A"", ""pmid"": ""34267676""}]",1,1,1
aff_6adeef7793aa5411,aff_7a8dd683d82dcf1e,"[""Lacour A"", ""Romussi S""]","[""41571758""]","[{""autor"": ""Lacour A"", ""pmid"": ""41571758""}, {""autor"": ""Romussi S"", ""pmid"": ""41571758""}]",2,1,2
aff_6ae0796c5c72dd64,aff_d37dcaf256b62523,"[""Walker A""]","[""41423699""]","[{""autor"": ""Walker A"", ""pmid"": ""41423699""}]",1,1,1
aff_6ba3d3b9e1f4db26,aff_8a89f4ad1a2348a9,"[""Bussey T"", ""Saksida L""]","[""29085903""]","[{""autor"": ""Bussey T"", ""pmid"": ""29085903""}, {""autor"": ""Saksida L"", ""pmid"": ""29085903""}]",2,1,2
aff_6c3e9f942b0e008a,aff_93130deb441cb8f0,"[""Escudero C""]","[""36117714""]","[{""autor"": ""Escudero C"", ""pmid"": ""36117714""}]",1,1,1
aff_6c5792e934f2c3b3,aff_7e121574a05e66ef,"[""Freudenthal R"", ""Romano A"", ""Salles A""]","[""28439227""]","[{""autor"": ""Freudenthal R"", ""pmid"": ""28439227""}, {""autor"": ""Romano A"", ""pmid"": ""28439227""}, {""autor"": ""Salles A"", ""pmid"": ""28439227""}]",3,1,3
aff_6d2dd8dcfaa28249,aff_c8f3f0065f8b994e,"[""Riedel C""]","[""37274341""]","[{""autor"": ""Riedel C"", ""pmid"": ""37274341""}]",1,1,1
aff_6d7a349a4b6031bf,aff_7d988c4443f307d5,"[""Gornalusse G"", ""Hladik F"", ""Levy C"", ""Vo P""]","[""38019897""]","[{""autor"": ""Gornalusse G"", ""pmid"": ""38019897""}, {""autor"": ""Hladik F"", ""pmid"": ""38019897""}, {""autor"": ""Levy C"", ""pmid"": ""38019897""}, {""autor"": ""Vo P"", ""pmid"": ""38019897""}]",4,1,4
aff_6d7a349a4b6031bf,aff_d63945c2bb3d569e,"[""Hladik F""]","[""38019897""]","[{""autor"": ""Hladik F"", ""pmid"": ""38019897""}]",1,1,1
aff_6e8ca31d34ff20ec,aff_e363a0e01dffa1c0,"[""Della-Maggiore V""]","[""42313886""]","[{""autor"": ""Della-Maggiore V"", ""pmid"": ""42313886""}]",1,1,1
aff_700a7a4c184d6f73,aff_f13a48fb3253ee4b,"[""Ozu M""]","[""28486763""]","[{""autor"": ""Ozu M"", ""pmid"": ""28486763""}]",1,1,1
aff_70877d91829891ad,aff_ed49356c1fc536f9,"[""Moncada D""]","[""42086667""]","[{""autor"": ""Moncada D"", ""pmid"": ""42086667""}]",1,1,1
aff_71c64e9fc35ba201,aff_80e97758033b2e20,"[""Belluscio M"", ""Coletti M"", ""Silva A""]","[""38950066""]","[{""autor"": ""Belluscio M"", ""pmid"": ""38950066""}, {""autor"": ""Coletti M"", ""pmid"": ""38950066""}, {""autor"": ""Silva A"", ""pmid"": ""38950066""}]",3,1,3
aff_72441bcd52dc4cdd,aff_a2e2a28b8a1efb3c,"[""Chara O""]","[""35705598""]","[{""autor"": ""Chara O"", ""pmid"": ""35705598""}]",1,1,1
aff_7583b4a982c698e9,aff_d125b9f3ebccdf67,"[""Marques da Silva W""]","[""41709136""]","[{""autor"": ""Marques da Silva W"", ""pmid"": ""41709136""}]",1,1,1
aff_75a132773bc86da1,aff_99c9d63d8ddecf4f,"[""Quintero-Arciniegas L""]","[""35431989""]","[{""autor"": ""Quintero-Arciniegas L"", ""pmid"": ""35431989""}]",1,1,1
aff_789f6b4484afab70,aff_81d6ffcea2ee2436,"[""Martinez N""]","[""30564135""]","[{""autor"": ""Martinez N"", ""pmid"": ""30564135""}]",1,1,1
aff_7917923f159f2c75,aff_d980a4294f72dfd1,"[""Greer C""]","[""30628061""]","[{""autor"": ""Greer C"", ""pmid"": ""30628061""}]",1,1,1
