Year,mean,median
2014,4.8,5.0
2015,5.785714285714286,5.5
2016,8.631578947368421,7.0
2017,7.321428571428571,5.5
2018,6.296296296296297,6.0
2019,6.68,6.0
2020,7.608695652173913,7.0
2021,7.133333333333334,7.0
2022,6.0,5.0
2023,10.055555555555555,9.0
2024,5.4,5.0
2025,6.708333333333333,6.0
2026,7.185185185185185,7.0
