GeneID,Symbol,Description,TaxID,Organism,Papers,Mentions,Text_mentions
,,,,,2,4,"['HIF', 'Ig', 'hypoxia-inducible factor', 'lactate dehydrogenase']"
12043,Bcl2,B cell leukemia/lymphoma 2,,Mus musculus,2,3,['Bcl-2']
30682,vegfaa,vascular endothelial growth factor Aa,,Danio rerio,2,3,"['VEGF', 'vascular endothelial growth factor', 'vegfaa']"
52897,Rbfox3,"RNA binding protein, fox-1 homolog (C. elegans) 3",,Mus musculus,2,3,['NeuN']
63888,A4galt,"alpha 1,4-galactosyltransferase",,Rattus norvegicus,2,3,['Gb3']
920,CD4,CD4 molecule,,Homo sapiens,2,3,"['CD4', 'CD4+']"
11545,Parp1,"poly (ADP-ribose) polymerase family, member 1",,Mus musculus,2,2,"['PARP-1', 'poly(ADP-ribose) polymerase']"
21926,Tnf,tumor necrosis factor,,Mus musculus,2,2,"['TNFalpha', 'tumor necrosis factor-alpha']"
394066,lin28ab,lin-28 homolog Ab,,Danio rerio,2,2,['lin28a']
5329,PLAUR,"plasminogen activator, urokinase receptor",,Homo sapiens,1,11,"['uPAR', 'urokinase-type Plasminogen Activator Receptor']"
135,ADORA2A,adenosine A2a receptor,,Homo sapiens,1,10,"[' receptor', 'ADORA2A']"
33569,Thor,thor,,Drosophila melanogaster,1,10,"['4E-BP', '4EBP', 'Thor']"
66026,Trpv4,"transient receptor potential cation channel, subfamily V, member 4",,Rattus norvegicus,1,10,['TRPV4']
7056,THBD,thrombomodulin,,Homo sapiens,1,10,"['THBD', 'Thrombomodulin', 'thrombomodulin']"
22353,Vip,vasoactive intestinal polypeptide,,Mus musculus,1,9,"['VIP', 'Vasoactive intestinal peptide']"
4137,MAPT,microtubule associated protein tau,,Homo sapiens,1,9,"['Tau', 'microtubule-associated protein tau', 'tau']"
100003922,p2ry1,purinergic receptor P2Y1,,Danio rerio,1,7,['P2RY1']
109648,Npy,neuropeptide Y,,Mus musculus,1,7,"['NPY', 'Neuropeptide Y', 'Npy', 'neuropeptide Y']"
20544,Slc9a1,"solute carrier family 9 (sodium/hydrogen exchanger), member 1",,Mus musculus,1,7,"['NHE1', 'Na+/H+ exchanger isoform 1']"
387298,p2rx7,"purinergic receptor P2X, ligand-gated ion channel, 7",,Danio rerio,1,7,['P2RX7']
5420,PODXL,podocalyxin like,,Homo sapiens,1,7,['podocalyxin']
7038,TG,thyroglobulin,,Homo sapiens,1,7,"['TG', 'thyroglobulin']"
14599,Gh,growth hormone,,Mus musculus,1,6,"['GH', 'growth hormone']"
14609,Gja1,"gap junction protein, alpha 1",,Mus musculus,1,6,"['Cx43', 'connexin 43']"
18033,Nfkb1,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105",,Mus musculus,1,6,['NF-kappa B']
24782,Slc9a1,solute carrier family 9 member A1,,Rattus norvegicus,1,6,"['NHE1', 'Na+/H+ exchanger isoform 1']"
42490,Mvl,Malvolio,,Drosophila melanogaster,1,6,"['Malvolio', 'Mvl']"
50721,Sirt6,sirtuin 6,,Mus musculus,1,6,['SIRT6']
79213,Slc6a11,solute carrier family 6 member 11,,Rattus norvegicus,1,6,['GAT-3']
11828,Aqp3,aquaporin 3,,Mus musculus,1,5,['AQP3']
15550,Htr1a,5-hydroxytryptamine (serotonin) receptor 1A,,Mus musculus,1,5,['5-HT1A']
2852,GPER1,G protein-coupled estrogen receptor 1,,Homo sapiens,1,5,"['G protein-coupled estrogen receptor 1', 'G protein-coupled estrogen receptor-1', 'GPER-1']"
54323,Arc,activity-regulated cytoskeleton-associated protein,,Rattus norvegicus,1,5,"['Arc', 'activity-regulated cytoskeletal-associated protein']"
569250,ehmt2,euchromatic histone-lysine N-methyltransferase 2,,Danio rerio,1,5,['G9a']
83629,Slc12a2,solute carrier family 12 member 2,,Rattus norvegicus,1,5,"['NKCC1', 'Na+ -K+ -2Cl- cotransporter 1']"
941,CD80,CD80 molecule,,Homo sapiens,1,5,"['B7-1', 'CD80']"
100102,Pcsk9,proprotein convertase subtilisin/kexin type 9,,Mus musculus,1,4,['Pc9']
11827,Aqp2,aquaporin 2,,Mus musculus,1,4,"['AQP2', 'Aquaporin-2']"
11829,Aqp4,aquaporin 4,,Mus musculus,1,4,"['AQP4', 'Aquaporin-4']"
20682,Sox9,SRY (sex determining region Y)-box 9,,Mus musculus,1,4,['SOX9']
2099,ESR1,estrogen receptor 1,,Homo sapiens,1,4,"['ERalpha', 'estrogen receptor alpha', 'estrogen receptor-alpha']"
24225,Bdnf,brain-derived neurotrophic factor,,Rattus norvegicus,1,4,"['BDNF', 'brain-derived neurotrophic factor']"
29517,Sgk1,serum/glucocorticoid regulated kinase 1,,Rattus norvegicus,1,4,"['SGK1', 'serum/glucocorticoid-regulated kinase 1']"
3687,ITGAX,integrin subunit alpha X,,Homo sapiens,1,4,"['CD11c', 'Cd11c', 'Itgax']"
5594,MAPK1,mitogen-activated protein kinase 1,,Homo sapiens,1,4,['ERK']
66849,Ppp1r2,"protein phosphatase 1, regulatory inhibitor subunit 2",,Mus musculus,1,4,['Ppp1r2']
775,CACNA1C,calcium voltage-gated channel subunit alpha1 C,,Homo sapiens,1,4,['Cav1.2']
83785,Vegfa,vascular endothelial growth factor A,,Rattus norvegicus,1,4,"['VEGF', 'vascular endothelial growth factor']"
9314,KLF4,KLF transcription factor 4,,Homo sapiens,1,4,['KLF4']
10725,NFAT5,nuclear factor of activated T cells 5,,Homo sapiens,1,3,['TonEBP']
12978,Csf1r,colony stimulating factor 1 receptor,,Mus musculus,1,3,"['CSF-1R', 'Colony-stimulating factor-1 receptor', 'colony-stimulating factor-1 receptor']"
1499,CTNNB1,catenin beta 1,,Homo sapiens,1,3,['beta-catenin']
170496,Lcn2,lipocalin 2,,Rattus norvegicus,1,3,"['NGAL', 'neutrophil gelatinase-associated lipocalin']"
171049,Folr1,folate receptor alpha,,Rattus norvegicus,1,3,"['Folr1', 'folate receptor-alpha']"
17708,COX1,cytochrome c oxidase subunit I,,Mus musculus,1,3,['COX1']
17709,COX2,cytochrome c oxidase subunit II,,Mus musculus,1,3,['COX2']
18783,Pla2g4a,"phospholipase A2, group IVA (cytosolic, calcium-dependent)",,Mus musculus,1,3,['cPLA2alpha']
2321,FLT1,fms related receptor tyrosine kinase 1,,Homo sapiens,1,3,['FLT-1']
308760,Rccd1,RCC1 domain containing 1,,Rattus norvegicus,1,3,['RCCD1']
3586,IL10,interleukin 10,,Homo sapiens,1,3,['IL-10']
