NormalizedID,NormalizedName,Papers,Mentions,Text_mentions,Sections
D000014,Abnormalities Drug-Induced,4,4,"['interface abnormalities', 'motor abnormalities']",['abstract']
D000743,Anemia Hemolytic,4,4,"['hemolytic anemia', 'microangiopathic lesions']",['abstract']
D019958,Attention Deficit and Disruptive Behavior Disorders,4,4,"['behavior deficits', 'behavioral deficits']","['abstract', 'title']"
D057165,Proteostasis Deficiencies,4,4,"['proteinopathies', 'proteinopathy']",['abstract']
D008607,Intellectual Disability,3,11,"['Intellectual disability', 'intellectual and adaptive cognitive disability', 'intellectual disability', 'mental retardation']","['abstract', 'title']"
D010146,Pain,3,10,"['pain', 'pathological pain']",['abstract']
D000544,Alzheimer Disease,3,7,"['AD', ""Alzheimer's"", ""Alzheimer's disease""]","['abstract', 'title']"
D003920,Diabetes Mellitus,3,7,"['DM', 'Diabetes', 'diabetes', 'diabetes mellitus', 'diabetic']","['abstract', 'title']"
D005879,Tourette Syndrome,3,6,"['TS', 'Tourette', 'Tourette syndrome', ""Tourette's syndrome""]",['abstract']
D009422,Nervous System Diseases,3,6,"['Nervous System Diseases', 'dopaminergic', 'neuropsychiatric and neurological disorders']","['abstract', 'title']"
D000026,Abortion Habitual,3,4,['abortion'],['abstract']
D002561,Cerebrovascular Disorders,3,4,"['Vascular Dysfunction', 'Vascular dysfunction', 'vascular disorders']","['abstract', 'title']"
D004194,Disease,3,4,"['dopaminergic lesion', 'multiples diseases', 'neuropsychiatric disease']",['abstract']
D004403,Dysentery,3,4,"['diarrheal', 'diarrheal disease', 'diarrheal infections', 'post-diarrheal']",['abstract']
D010922,Placenta Diseases,3,4,"['placental abnormalities', 'placental damage', 'placentation']","['abstract', 'title']"
D011248,Pregnancy Complications,3,4,['pregnancy complications'],['abstract']
D063646,Carcinogenesis,3,4,"['liver tumorigenesis', 'thyroid tumorigenesis', 'tumorigenesis']",['abstract']
D005517,Foodborne Diseases,3,3,"['food-associated diseases', 'food-borne diseases', 'foodborne disease']",['abstract']
D013921,Thrombocytopenia,3,3,['thrombocytopenia'],['abstract']
D016640,Diabetes Gestational,3,3,"['gestational diabetes mellitus', 'gestational disorders']",['abstract']
610251,610251,2,13,"['AH', 'Alcohol hangover', 'Hangover', 'alcohol hangover']","['abstract', 'title']"
D000086382,COVID-19,2,11,"['COVID-19', 'SARS-CoV-2', 'SARS-CoV-2 infection', 'Severe Acute Respiratory Syndrome Coronavirus 2', 'Severe Acute Respiratory Syndrome Coronavirus 2 Infection', 'coronavirus disease 2019']","['abstract', 'title']"
D012640,Seizures,2,9,"['seizure', 'seizures']","['abstract', 'title']"
D000079262,Obesity Maternal,2,8,"['Maternal', 'maternal', 'maternal syndrome']","['abstract', 'title']"
D009404,Nephrotic Syndrome,2,8,['nephrotic syndrome'],"['abstract', 'title']"
D006333,Heart Failure,2,6,['heart failure'],"['abstract', 'title']"
D000092223,Hippocampal Sclerosis,2,5,"['Hippocampal Sclerosis', 'hippocampal damage', 'hippocampal sclerosis']","['abstract', 'title']"
D007174,Disruptive Impulse Control and Conduct Disorders,2,5,"['impulsive', 'impulsive responses', 'impulsivity']",['abstract']
D009771,Obsessive-Compulsive Disorder,2,5,"['OCD', 'obsessive-compulsive disorder']",['abstract']
D002303,Cardiac Output Low,2,4,"['low cardiac output', 'low cardiac output syndrome']",['abstract']
D003324,Coronary Artery Disease,2,4,"['RCA', 'coronary artery alterations', 'coronary atherosclerosis']",['abstract']
D009634,Noonan Syndrome,2,4,"['NS', 'Noonan syndrome']",['abstract']
D011254,Pregnancy in Diabetics,2,4,"['pregnancy diseases and', 'pregnancy disorders']","['abstract', 'title']"
D016388,Tooth Loss,2,4,['loss'],"['abstract', 'title']"
D028361,Mitochondrial Diseases,2,4,"['mitochondrial abnormalities', 'mitochondrial dysfunction']","['abstract', 'title']"
D059350,Chronic Pain,2,4,"['Chronic pain', 'chronic pain']",['abstract']
612348,612348,2,3,"['activation dyssynchrony', 'activity']",['abstract']
D001424,Bacterial Infections,2,3,"['bacterial', 'bacterial infection']","['abstract', 'title']"
D002493,Central Nervous System Diseases,2,3,"['CNS injury', 'central nervous system (CNS) injury']",['abstract']
D004408,Dysgeusia,2,3,['alterations'],['abstract']
D006963,Hyperphagia,2,3,['hyperphagia'],['abstract']
D007511,Ischemia,2,3,"['ischaemia', 'ischemia']",['abstract']
D008288,Malaria,2,3,"['Malaria', 'malaria', 'placental malaria']",['abstract']
D012164,Retinal Diseases,2,3,"['Retinal injuries and diseases', 'retinal damage', 'retinal disease']",['abstract']
D015431,Weight Loss,2,3,"['SCIN reduction', 'weight loss']",['abstract']
D059445,Anhedonia,2,3,['anhedonia'],"['abstract', 'title']"
300082,300082,2,2,"['social defeat', 'social impairments']",['abstract']
D000013,Congenital Abnormalities,2,2,"['congenital anomalies', 'fetal malformations']",['abstract']
D000138,Acidosis,2,2,['acidosis'],['abstract']
D000230,Adenocarcinoma,2,2,['tubular damage'],['abstract']
D001157,Arterial Occlusive Diseases,2,2,"['RCA occlusion', 'glomerular occlusion']",['abstract']
D001259,Ataxia,2,2,"['deficits in motor coordination', 'impaired coordination and balance']",['abstract']
D001289,Attention Deficit Disorder with Hyperactivity,2,2,"['attention and memory', 'attention deficit hyperactivity disorder']",['abstract']
D001480,Basal Ganglia Diseases,2,2,"['axonal damage', 'ganglia']",['abstract']
D002318,Cardiovascular Diseases,2,2,['cardiovascular diseases'],['abstract']
D002534,Hypoxia Brain,2,2,['hypoxic'],['abstract']
D002658,Developmental Disabilities,2,2,"['impaired neurological development', 'neurodevelopmental disorder']",['abstract']
D003141,Communicable Diseases,2,2,"['infectious diseases', 'infectious illness']",['abstract']
D003866,Depressive Disorder,2,2,['depression'],['abstract']
D005767,Gastrointestinal Diseases,2,2,"['Gastrointestinal infection', 'gastrointestinal infections']",['abstract']
D005921,Glomerulonephritis,2,2,"['glomerulonephritis', 'glomerulosclerosis']",['abstract']
D006030,Glycosuria Renal,2,2,"['renal alterations', 'renal compromise']",['abstract']
D007153,Immunologic Deficiency Syndromes,2,2,"['micronutrient deficiency', 'thyroglobulin deficiency']","['abstract', 'title']"
D007333,Insulin Resistance,2,2,['insulin resistance'],['abstract']
D007676,Kidney Failure Chronic,2,2,"['chronic renal failure', 'end-stage renal disease']",['abstract']
